Jugador,Nombre_Completo
Martín Cáceres,José Martín Cáceres Silva
Maxi López,Maximiliano Gastón López
Maxwell,Maxwell Scherrer Cabelino Andrade
Neto,Norberto Murara Neto
Nélson Semedo,Nélson Cabral Semedo
Patrik Andersson,
Ronald Araújo,Ronald Federico Araújo da Silva
Rü?tü Reçber,
Samuel Umtiti,Samuel Yves Umtiti
Sylvinho,Sylvio Mendes Campos Junior
Thiago Motta,Thiago Motta
Thomas Vermaelen,Thomas Vermaelen
Wojciech Szcz?sny,
Yusuf Demir,
Éric Abidal,Eric-Sylvain Bilal Abidal
Alexander Hleb,Aliaksandr Hleb
Arthur Melo,Arthur Henrique Ramos de Oliveira Melo
Clément Lenglet,Clément Lenglet
Jérémy Mathieu,Jérémy Mathieu
Michael Reiziger,
Yerry Mina,Yerry Fernando Mina González
Deco,Anderson Luís de Souza
Edgar Davids,
Franck Kessié,
Ilaix Moriba,
Ivan Rakiti?,Ivan Rakitić
Jules Koundé,
Junior Firpo,Héctor Junior Firpo Adames
Memphis,
Sergio Agüero,
Yaya Touré,Gnégnéri Yaya Touré
Frenkie de Jong,Frenkie de Jong
João Cancelo,
Mark van Bommel,Mark van Bommel
Philippe Coutinho,Philippe Coutinho Correia
Vitor Roque,
Arturo Vidal,Arturo Erasmo Vidal Pardo
Francisco Trincão,
Henrik Larsson,Henrik Larsson
Javier Saviola,Javier Pedro Saviola Fernández
João Félix,
Luis Suárez,Luis Alberto Suárez Díaz
Patrick Kluivert,
Paulinho,José Paulo Bezzera Maciel Júnior
Raphinha,
Robert Lewandowski,
Samuel Eto'o,Samuel Eto'o Fils
Seydou Keita,Seydou Kéita
Thierry Henry,Thierry Henry
Zlatan Ibrahimovi?,Zlatan Ibrahimović
?lkay Gündo?an,
